$NOT,157353
$uicideboy$,460502
1986zig,889
1nonly,889
21 Savage,9779
24kGoldn,267589
2 Chainz,159131
2Pac,445389
3 Doors Down,528955
5 Seconds of Summer,528066
88rising,148463
A$AP Ferg,381381
A$AP Rocky,454279
ABBA,908558
A Boogie Wit da Hoodie,252476
AC/DC,387604
A Day To Remember,451612
Adele,161798
Aerosmith,390271
A Great Big World,232918
a-ha,912114
AJR,235585
Alanis Morissette,9779
Alan Jackson,470281
Alan Walker,93345
Alec Benjamin,368046
Alejandro Fernández,668528
Aleks Syntek,384048
Aleman,310261
Alessia Cara,594741
Alesso,385826
Alex Rose,149352
Alice In Chains,158242
Ali Gatie,81788
Alina Baraz,377825
alt-J,442722
Alvaro Soler,490728
Aminé,392049
Amy Winehouse,175133
ANAVITÓRIA,422275
Andy Grammer,164465
Angus & Julia Stone,382270
Anitta,2667
Anne-Marie,162687
Anuel AA,88011
Apache 207,64897
Arcade Fire,87122
Arcangel,361823
Arctic Monkeys,411607
AREA21,889
Aretha Franklin,534289
Ariana Grande,315595
Arijit Singh,227584
A R I Z O N A,235585
Asche,7112
Ashnikko,78232
A Tribe Called Quest,890778
Audioslave,235585
Ava Max,370713
Avenged Sevenfold,860552
Aventura,310261
Avicii,461391
Avril Lavigne,303149
AWOLNATION,392049
Axwell /\ Ingrosso,443611
Aya Nakamura,313817
Baby Keem,1767332
Baby Lullaby Academy,378714
Backstreet Boys,164465
Bad Bunny,312039
Banda El Recodo,310261
Banda Los Recoditos,312928
Banda MS de Sergio Lizárraga,176911
Bastille,94234
Bazzi,160020
bbno$,168021
Bea Miller,306705
Beast Coast,226695
Beastie Boys,391160
Bebe Rexha,462280
Beck,208915
Becky G,149352
Bee Gees,373380
Ben&Ben,158242
Ben Howard,596519
Benjamin Blümchen,606298
benny blanco,304038
Ben Platt,615188
Bethel Music,240030
Beyoncé,2052701
BIA,1009904
Bibi Blocksberg,719201
Bibi und Tina,732536
BIGBANG,1145921
Big Sean,242697
Billie Eilish,169799
Billie Joe Armstrong,77343
Billy Joel,548513
BIN,79121
Bing Crosby,424053
Bino Rideaux,889
Birdy,455168
Bizarrap,2667
Black Eyed Peas,311150
BLACKPINK,520065
Black Sabbath,407162
Blake Shelton,233807
BLANCO,156464
blink-182,531622
Blueface,319151
Blxst,236474
Bob Dylan,678307
Bob Marley & The Wailers,380492
Bon Iver,161798
Bon Jovi,367157
Booba,595630
BØRNS,598297
Boyce Avenue,537845
Boza,889
Brantley Gilbert,751205
Breaking Benjamin,174244
BRELAND,889
Brent Faiyaz,10668
Brett Eldredge,305816
Brett Young,367157
Bring Me The Horizon,307594
Britney Spears,478282
BROCKHAMPTON,235585
BRONSON,227584
Bruce Springsteen,663194
Bruno Mars,937006
Bruno Martini,49784
Bryan Adams,376047
Bryant Myers,311150
Brytiago,227584
BTS,376047
Bullet For My Valentine,448945
BURNS,1778
Cage The Elephant,240030
Calexico,142240
Calibre 50,313817
Cali Y El Dandee,312039
Calle 13,450723
Calvin Harris,1222375
Camila,157353
Camila Cabello,230251
Camilo,295148
Canserbero,334264
Capital Bra,82677
Carlos Rivera,354711
Carlos Vives,536067
Carly Rae Jepsen,439166
Cartel De Santa,386715
Cascada,598297
Cash Cash,86233
Casper Magico,889
Céline Dion,242697
Cesar Mc,1778
Chance the Rapper,156464
Charlie Brown Jr.,476504
Charli XCX,305816
Chaya,889
Chayanne,424053
Cheat Codes,156464
Chen Linong,72009
Chief Keef,232918
Childish Gambino,303149
Chris Brown,2383409
Chris Lane,232029
Chris Stapleton,459613
Christina Aguilera,1778
Christina Perri,386715
Chris Young,598297
Ciara,385826
Cigarettes After Sex,165354
Classical Music Radio,309372
Clean Bandit,377825
CNCO,378714
Colbie Caillat,157353
Coldplay,605409
Cole Swindell,230251
Conan Gray,104013
Conor Matthews,72898
Conor Maynard,245364
Cosculluela,304038
Counting Crows,230251
Cozz,488061
Craig David,99568
Creedence Clearwater Revival,9779
Cro,606298
C. Tangana,236474
Cyndi Lauper,596519
CZARFACE,8001
DaBaby,603631
Daddy Yankee,602742
Dadju,1398397
Dalex,150241
Damso,536067
Daniel Caesar,159131
Daniel Caon,72009
Danny Ocean,83566
Dan + Shay,86233
Darius Rucker,53340
Darkiel,72009
Daryl Hall & John Oates,392049
Daughtry,380492
Dave Matthews Band,238252
David Bisbal,462280
David Guetta,760984
Dead Prez,91567
Dean Lewis,151130
Dean Martin,935228
Death Cab for Cutie,172466
Deep Purple,164465
Deftones,312928
De La Ghetto,387604
Delaney & Bonnie,78232
Demi Lovato,536956
Dennis Lloyd,8001
Denzel Curry,306705
Depeche Mode,469392
Desiigner,238252
Destiny's Child,442722
Diego & Victor Hugo,450723
Dierks Bentley,373380
Dímelo Flow,75565
Dimitri Vegas & Like Mike,274701
Diplo,153797
Dire Straits,157353
Disclosure,306705
Disturbed,312928
DJ Khaled,353822
DJ Scheme,301371
DJ Snake,536956
DMX,375158
DNCE,310261
Doja Cat,673862
Dolly Parton,178689
Dominic Fike,227584
Don Diablo,454279
Don Omar,832104
Don Toliver,235585
Doode,889
DOPE LEMON,234696
Drake,1136142
Dr. Dre,574294
Dreamville,1403731
Dua Lipa,646303
Duran Duran,458724
Dustin Lynch,238252
Dynoro,2667
Eagles,253365
"Earth, Wind & Fire",402717
EDEN,317373
Ed Sheeran,318262
El Alfa,377825
Electric Light Orchestra,228473
Elevation Worship,302260
El Fantasma,302260
Ella Eyre,235585
Ella Fitzgerald,391160
Ella Mai,24003
Elle King,83566
Ellie Goulding,528066
Elton John,2106041
Elvis Presley,537845
Emeli Sandé,256032
Eminem,697865
Enrique Iglesias,102235
Enya,374269
Eric Church,809879
Eric Clapton,239141
Eros Ramazzotti,312039
Eurythmics,243586
Evanescence,164465
Faith Evans,241808
Fall Out Boy,307594
Famous Dex,431165
Farruko,664083
Fat Joe,306705
Felipe Araújo,454279
Fergie,234696
Fetty Wap,307594
Fifth Harmony,359156
Five Finger Death Punch,323596
Fleetwood Mac,545846
Florence + The Machine,233807
Flo Rida,875665
Foals,824992
Foo Fighters,91567
Foster The People,236474
Frank Ocean,393827
Frank Sinatra,382270
Frédéric Chopin,415163
French Montana,391160
Frenna,464058
Fuego,889
Fugees,311150
Future,457835
Galantis,1282827
G-Eazy,504063
Gemitaiz,171577
Gente De Zona,424942
Geoff Zanelli,6223
George Ezra,388493
George Michael,256032
George Strait,330708
Gera MX,82677
Gerardo Ortiz,378714
Ghostemane,228473
Ghostface Killah,564515
Giacomo Puccini,839216
GIMS,754761
Ginuwine,313817
girl in red,121793
Glass Animals,295148
Glee Cast,748538
Gloria Trevi,679196
gnash,10668
GoldLink,242697
Gorillaz,312928
Gotye,304927
grandson,77343
Granular,18669
Grateful Dead,548513
Great Good Fine Ok,79121
Greeicy,77343
Green Day,521843
Grimes,168910
Grouplove,202692
"Grover Washington, Jr.",317373
Grupo Firme,169799
Gryffin,612521
Guns N' Roses,383159
Gustavo Mioto,88900
Gwen Stefani,97790
Gym Class Heroes,229362
Hailee Steinfeld,223139
Hans Zimmer,172466
Harry Styles,163576
Henrique & Juliano,822325
Hillsong UNITED,656082
Hillsong Worship,160020
HI-LO,72009
Hollywood Undead,156464
Hombres G,593852
Hornet La Frappe,464947
Hozier,777875
Ice Cube,609854
Icona Pop,152019
Iggy Azalea,456946
ilyTOMMY,889
Imagine Dragons,318262
Incubus,934339
Ingrid Andress,151130
Internet Money,687197
Iron & Wine,83566
IU,629412
Jack & Jack,224028
Jack Johnson,99568
Jack Ü,84455
Jacquees,227584
Jaden,389382
Jake Owen,312039
Jakey,72009
James Arthur,599186
James Bay,449834
James Blake,445389
James Blunt,241808
James Taylor,433832
James TW,83566
Jamiroquai,221361
Jason Aldean,162687
Jason Derulo,106680
Jason Mraz,387604
Jay Chou,551180
Jay Wheeler,230251
JAY-Z,306705
J Balvin,526288
J. Cole,778764
Jeezy,491617
Jennifer Lopez,596519
Jeremy Zucker,230251
Jesse & Joy,520954
Jessie J,308483
Jhay Cortez,240919
Jhené Aiko,244475
Jimi Hendrix,164465
Jimmie Allen,166243
Joan Sebastian,314706
Joel Corry,1778
Joey Bada$$,373380
John Legend,319151
John Lennon,702310
John Mayer,312928
John Powell,235585
John Williams,245364
Joji,313817
Jonas Blue,235585
Jon Bellion,456057
Jon Pardi,19558
Jon Z,351155
Jordan Davis,232918
Jorge & Mateus,604520
José José,835660
Josh Turner,303149
Journey,459613
Joyner Lucas,167132
JP Cooper,16002
Juanes,382270
Juan Gabriel,400939
Juice WRLD,456946
Julia Michaels,235585
Justin Bieber,254254
Justin Quiles,176022
Justin Timberlake,304038
K.A.A.N.,82677
Kacey Musgraves,313817
KALEO,160909
Kali Uchis,243586
Kane Brown,630301
Kanye West,446278
KAROL G,306705
Kasablanca,5334
Katy Perry,447167
KC Rebell,459613
Keane,310261
Kehlani,300482
Kelly Clarkson,455168
Kelsea Ballerini,315595
Kenny Chesney,164465
Kesha,534289
Kevin Gates,160020
Kevin Roldan,470281
Key Glock,80899
KHEA,152908
Kid Cudi,302260
KIDS SEE GHOSTS,75565
Kiiara,21336
Kina,1778
Kings of Leon,164465
Kodak Black,154686
Kodaline,659638
Kollegah,897001
Korn,235585
KSHMR,381381
KSI,680974
Kungs,76454
Kurt Weill,169799
Kxllswxtch,296037
Kygo,449834
KYLE,248920
Kylie Minogue,389382
La Arrolladora Banda El Limón De Rene Camacho,387604
Labrinth,552069
Lady A,170688
Lady Gaga,944118
Ladytron,247142
Lalo Ebratt,72009
Lana Del Rey,241808
La Oreja de Van Gogh,453390
Lauren Daigle,237363
Lauv,400939
Laylow,967232
League of Legends,607187
Led Zeppelin,677418
Lee Brice,456946
Lenny Kravitz,90678
Leona Lewis,165354
Lewis Capaldi,160020
Lil Dicky,156464
Lil Kleine,178689
Lil Mosey,533400
Lil Nas X,94234
Lil Peep,95123
Lil Skies,464947
Lil Tecca,398272
Lil Tjay,627634
Lil Wayne,317373
Lil Xan,223139
Limp Bizkit,600075
Lindsey Stirling,316484
Linkin Park,682752
Lin-Manuel Miranda,323596
Lionel Richie,402717
Little Mix,241808
Lizzo,368935
LMFAO,99568
Logic,239141
Lorde,307594
Lord Huron,288036
Los Ángeles Azules,305816
Los Bukis,549402
Los Enanitos Verdes,237363
Los Temerarios,245364
Lost Frequencies,227584
Los Tigres Del Norte,158242
Loud Luxury,86233
Louis Armstrong,304038
Louis Tomlinson,170688
Love Renaissance (LVRN),150241
Luan Santana,251587
Lucas & Steve,80899
LUDMILLA,169799
Ludovico Einaudi,306705
Luísa Sonza,225806
Luis Fonsi,616077
Luis Miguel,448945
Lukas Graham,374269
Luke Combs,242697
Lunay,233807
Lupe Fiasco,666750
Lykke Li,303149
Lynyrd Skynyrd,732536
M83,499618
Mabel,688086
Mac DeMarco,410718
Machine Gun Kelly,520065
Macklemore,420497
Mac Miller,102235
MadeinTYO,312039
Madison Beer,231140
Major Lazer,476504
Maluma,1550416
Måneskin,304038
Manuel Turizo,372491
Marc Anthony,416052
Marc E. Bassy,723646
Marco Antonio Solís,154686
Mariah Carey,688975
Marília Mendonça,177800
Marilyn Manson,233807
Mark Ronson,11557
Maroon 5,1441958
Marshmello,160020
Martin Garrix,229362
Martin Solveig,83566
Marvin Gaye,454279
Mary J. Blige,393827
Masego,306705
Matheus Fernandes,97790
Matheus & Kauan,254254
Mau y Ricky,229362
MAX,415163
Max Richter,467614
MC Kevinho,75565
Meek Mill,671195
Megadeth,336931
Megan Thee Stallion,396494
Meghan Trainor,812546
Melanie Martinez,446278
Melendi,402717
Melim,161798
Metallica,994791
M.I.A.,432943
Michael Bublé,230251
Michael Jackson,537845
Michael Silverman,238252
Miguel,309372
MihTy,78232
Mike Perry,1778
Mike Posner,156464
Mike WiLL Made-It,298704
Miley Cyrus,1161923
Milky Chance,88900
MKTO,88011
Moneybagg Yo,686308
Mon Laferte,40005
Morgan Wallen,919226
Mötley Crüe,231140
Mr. Probz,84455
Mumford & Sons,422275
Murda,85344
Muse,352044
Mustard,302260
My Chemical Romance,249809
Nanpa Básico,365379
Natanael Cano,85344
Natiruts,230251
Nat King Cole,158242
NCT 127,273812
NEFFEX,238252
Neil Young,35560
Nelly,520954
Nelly Furtado,457835
NF,286258
Nickelback,641858
Nick Jonas,456946
Nina Simone,241808
Nio Garcia,151130
Nipsey Hussle,236474
Nirvana,534289
Niska,314706
NLE Choppa,460502
Noah Cyrus,148463
Norah Jones,306705
Normani,4445
NOTD,72009
*NSYNC,387604
Oasis,757428
ODESZA,232029
Official HIGE DANdism,558292
Offset,81788
Of Monsters and Men,381381
Old Dominion,165354
Oliver Heldens,74676
Oliver Tree,463169
Olivia Rodrigo,84455
Olly Murs,816991
OMI,311150
One Direction,1700657
ONE OK ROCK,160020
OneRepublic,160909
Otis Redding,163576
Outkast,544068
Owl City,375158
Ozuna,128016
Ozzy Osbourne,431165
Pablo Alborán,392938
Panic! At The Disco,460502
Papa Roach,458724
Paramore,684530
PARTYNEXTDOOR,17780
Party Pupils,76454
Paul McCartney,470281
Paulo Londra,151130
Paul Simon,309372
Pearl Jam,312039
Pedro Capó,163576
Pentatonix,307594
Petit Biscuit,323596
Phil Collins,388493
Pineapple StormTv,889
Pink Floyd,296926
Piso 21,242697
Pitbull,95123
Pixies,398272
PJ Harding,76454
Plan B,236474
Playboi Carti,508508
PnB Rock,389382
P!nk,448056
Polo G,314706
Pop Smoke,611632
Portugal. The Man,482727
Post Malone,348488
Powfu,223139
Prince Royce,557403
Puddle Of Mudd,156464
Queen,646303
Queens of the Stone Age,296037
Qveen Herby,4445
R3HAB,463169
Radiohead,534289
Rae Sremmurd,461391
RAF Camora,395605
Rage Against The Machine,523621
Rag'n'Bone Man,674751
Ramin Djawadi,248920
Rammstein,169799
Rascal Flatts,645414
Rauw Alejandro,443611
Red Hot Chili Peppers,343154
Red Velvet,1082802
Regard,3556
Reik,232029
Rex Orange County,162687
Rezz,231140
Ricardo Arjona,527177
Rich Music LTD,80899
Rich The Kid,221361
Ricky Martin,153797
Rihanna,310261
Río Roma,538734
Rise Against,360045
R. Kelly,670306
Robbie Williams,581406
Roddy Ricch,80899
Rod Wave,681863
Romeo Santos,461391
Roxette,541401
Roy Woods,377825
Rudimental,457835
Ruth B.,152908
Ryan Hurd,77343
Sabaton,160020
Sabrina Carpenter,81788
SAINt JHN,492506
Sam Cooke,385826
Sam Feldt,318262
Samra,525399
Sam Smith,1370838
Santana,313817
Santo Trafficante,151130
Sara Bareilles,164465
Saweetie,300482
ScHoolboy Q,379603
Scorpion Gang,148463
Scorpions,439166
Sean Kingston,229362
Sean Paul,232029
Sebastian Yatra,296037
Seether,238252
Shaggy,248920
Shakira,570738
Shania Twain,904113
Shawn Mendes,1581531
Shinedown,304927
Shotgun Willy,75565
Sia,73787
Sigala,160909
Silver,889
Simon & Garfunkel,816991
Simple Plan,93345
Sin Bandera,224917
Skillet,376936
Sleeping At Last,469392
Smuff Tha Quiz,222250
Snakehips,72898
Snow Patrol,162687
Social House,889
Soda Stereo,90678
Sofía Reyes,150241
Spice Girls,539623
Stephen Oaks,8001
Stevie Wonder,790321
Stone Sour,634746
Stray Kids,452501
Stromae,160909
Sublime,319151
Sueco,889
Sufjan Stevens,1020572
Sum 41,159131
Summer Walker,298704
Supertramp,589407
Su Presencia,10668
Surfaces,312039
Swedish House Mafia,534289
System Of A Down,591185
Tainy,272034
Taio Cruz,306705
Talib Kweli,6223
Talking Heads,443611
Tame Impala,390271
Tate McRae,1778
Taylor Swift,468503
Tears For Fears,324485
Tech N9ne,303149
Tee Grizzley,459613
Thalia,89789
The 1975,466725
The All-American Rejects,389382
The Beach Boys,1505966
The Beatles,4366768
The Black Keys,463169
The Chainsmokers,1710436
The Clash,230251
The Cranberries,759206
The Doors,688975
The Fray,172466
The Goo Goo Dolls,380492
The Head And The Heart,238252
The Jackson 5,747649
The Kid LAROI,333375
The Killers,240030
The Kooks,507619
The Lumineers,238252
The Neighbourhood,325374
The Notorious B.I.G.,80010
The Offspring,24003
The Police,161798
The Pussycat Dolls,639191
The Rolling Stones,658749
The Score,102235
The Script,232029
The Smashing Pumpkins,394716
The Smiths,376936
The Strokes,284480
The Temptations,598297
The Vamps,307594
The Weeknd,353822
The White Stripes,317373
The Who,958342
Thirty Seconds To Mars,304038
Thomas Rhett,669417
Three Days Grace,163576
Tiësto,306705
Timmy Trumpet,81788
Tina Turner,16891
TINI,307594
Tinie Tempah,160909
TKKG Junior,608965
TLC,175133
Toby Keith,16002
Tom Odell,532511
TOMORROW X TOGETHER,227584
Tom Petty and the Heartbreakers,317373
Tom Walker,303149
Tones And I,310261
Tony Bennett,480060
TOOL,78232
Topic,294259
Tory Lanez,448056
TOTO,459613
Tove Lo,538734
Tracy Chapman,291592
Trevor Daniel,118237
Trey Songz,397383
Trippie Redd,845439
Trouble,86233
T.R.U.,80010
Twenty One Pilots,1228598
TWICE,88011
Two Door Cinema Club,301371
Two Feet,375158
"Tyler, The Creator",168021
U2,551180
UB40,523621
Ufo361,174244
Un Corazón,305816
Usher,304927
Vampire Weekend,324485
Vance Joy,96012
Van Halen,674751
Van Morrison,188468
Vicente Fernández,531622
Vintage Culture,1778
Vishal-Shekhar,16891
Volbeat,1609979
Wale,237363
WALK THE MOON,232029
Wallows,229362
Weezer,303149
Wesley Safadão,301371
Westlife,160020
Whitney Houston,310261
Will Smith,312928
Wisin,313817
Wizard of Loneliness,86233
Wiz Khalifa,233807
Wolfgang Amadeus Mozart,1553972
Wu-Tang Clan,312039
X Ambassadors,457835
Xavier Wulf,445389
XXXTENTACION,775208
Yellow Claw,165354
YNW Melly,240030
Yo Gotti,310261
Young Dolph,309372
Young Stoner Life,261366
Young Thug,310261
Yung Gravy,598297
Yusuf / Cat Stevens,625856
Zac Brown Band,160020
Zara Larsson,413385
ZAYN,180467
Zedd,455168
Zé Felipe,176022
Zé Neto & Cristiano,315595
ZHU,307594
zzoilo,889
ZZ Top,515620
